count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_4_or_more_rigid_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6425,2018,6,London,145,Camden,A40,major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",3642,1269,11805,1231,2023,520,56,2,69,1,1,649,16976
7043,2018,6,London,145,Camden,A400,major,A502,"Delancey St",528950,183780,51.53820259,-0.14209170,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",974,828,8350,1161,2145,384,71,0,18,0,4,477,12960
7044,2018,6,London,145,Camden,A400,major,A501,"Harrington Sq",529200,183000,51.53113588,-0.13877500,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",2281,1748,23031,1851,4258,880,68,0,114,14,48,1123,32010
7214,2018,6,London,145,Camden,A503,major,A400,A5202,529150,184100,51.54103264,-0.13909228,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",2035,1893,26191,1362,6435,521,83,14,175,17,14,824,36705
7237,2018,6,London,145,Camden,A5202,major,B512,A503,529300,184000,51.54009966,-0.13696726,0.90,0.56,Counted,"Manual count",1260,319,5027,96,1296,74,23,6,35,1,2,142,6880
7717,2018,6,London,145,Camden,A5201,major,"Gray's Inn Rd","LA Boundary",531300,182040,51.52202484,-0.10887534,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",6091,2120,9689,783,2975,367,24,4,16,1,3,414,15981
8381,2018,6,London,145,Camden,A5200,major,"Acton St","Swinton St",530560,182730,51.52839696,-0.11927979,0.10,0.06,Counted,"Dependent on a neighbouring counted link",1562,667,8674,586,2172,241,33,6,22,3,4,310,12409
8438,2018,6,London,145,Camden,A201,major,"Gray's Inn Rd","King's Cross Road",530620,182725,51.52833817,-0.11841721,0.30,0.19,Counted,"Manual count",697,543,6066,557,1342,127,37,8,49,14,6,242,8750
8469,2018,6,London,145,Camden,A400,major,A40,A5204,529700,181590,51.51835019,-0.13208946,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",2292,1406,8562,1011,2412,404,84,14,50,0,0,553,13943
16434,2018,6,London,145,Camden,A41,major,"Adelaide Road roundabout",A598,526150,185000,51.54979866,-0.18200525,2.50,1.55,Estimated,"Estimated using previous year's AADF on this link",413,1280,36281,1715,8678,664,132,57,159,72,64,1149,49103
17007,2018,6,London,145,Camden,A400,major,"Royal College St","LA Boundary",529000,185000,51.54915490,-0.14092437,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",2097,959,9157,1089,2355,441,32,10,39,7,15,544,14105
17008,2018,6,London,145,Camden,A400,major,"Hampstead Rd",A4200,529200,183160,51.53257375,-0.13871635,0.20,0.12,Counted,"Manual count",465,931,9732,891,2876,236,43,6,108,6,3,402,14832
